char_freq_;,char_freq_(,char_freq_[,char_freq_!,char_freq_$,char_freq_#,capital_run_length_average,capital_run_length_longest,capital_run_length_total,word_freq_our,word_freq_over,word_freq_remove,word_freq_internet,word_freq_order,word_freq_mail,word_freq_receive,word_freq_will,word_freq_people,word_freq_report,word_freq_money,word_freq_mail,word_freq_email,word_freq_free,word_freq_free,word_freq_your,spam
0.0,2.639751552795031,0.0,0.0,0.0,0.0,0.44180874722016306,1.6142735768903993,2.3441966838193253,56.25,0.0,0.0,21.34387351778656,0.0,22.453222453222455,0.0,0.0,0.0,0.0,0.0,22.453222453222455,0.0,0.0,0.0,5.9405940594059405,1
0.0,17.857142857142858,0.0,0.0,0.0,0.0,0.493995552260934,0.5097706032285472,1.5723270440251573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.00780234070221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.001100110011,0
0.0,0.0,0.0,0.0,19.428571428571427,0.0,1.5362490733876946,2.1240441801189465,1.6295025728987995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.644993498049413,0.0,0.0,19.21921921921922,0.0,0.0,0.0,0.0,70.51705170517052,1
0.0,4.244306418219462,0.0,0.4600874166091558,0.0,0.0,0.4421052631578947,0.9345794392523366,7.632933104631218,3.125,13.297872340425533,0.0,0.0,0.0,0.0,0.0,3.250975292587776,0.0,0.0,0.0,0.0,1.8018018018018018,0.0,0.0,4.18041804180418,0
0.0,15.217391304347824,0.0,0.0,0.0,0.0,0.37064492216456635,0.16992353440951571,0.42881646655231553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.4655369819097779,13.354037267080747,0.0,2.967563837129055,18.38095238095238,0.0,2.152112676056338,6.032285471537808,17.638650657518582,5.729166666666668,11.702127659574469,0.0,0.0,43.225806451612904,9.355509355509357,11.0,11.703511053315994,0.0,0.0,3.303303303303303,9.355509355509357,0.0,2.1653543307086616,2.1653543307086616,12.32123212321232,1
0.0,0.0,0.0,3.9107430411778243,16.19047619047619,0.0,1.8579688658265383,3.4834324553950724,2.687249857061178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.177177177177178,8.858267716535433,8.858267716535433,29.92299229922993,1
0.0,5.124223602484473,0.0,0.3680699332873246,6.285714285714286,0.0,0.6238695329873981,2.463891248937978,10.891938250428815,5.46875,5.319148936170212,2.202643171806167,20.948616600790515,6.451612903225806,4.365904365904366,0.0,8.322496749024706,0.0,0.0,0.0,4.365904365904366,0.0,0.0,0.0,0.0,1
0.0,5.434782608695652,0.0,0.0,4.9523809523809526,0.0,0.6419570051890289,1.6992353440951569,12.750142938822185,6.770833333333334,0.0,0.0,25.691699604743086,8.387096774193548,0.0,0.0,10.143042912873861,13.612565445026178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,9.155739590522199,0.0,0.0,0.7783543365455893,1.6142735768903993,3.6020583190394513,0.0,0.0,13.876651982378855,24.90118577075099,40.64516129032258,0.0,0.0,8.192457737321195,0.0,0.0,0.0,0.0,9.45945945945946,12.401574803149606,12.401574803149606,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.2965159377316531,0.08496176720475786,0.22870211549456834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100.0,0.0,0.0,1.7023234414538766,0.0,4.509101987965573,2.1610081541882873,3.6533559898045884,9.376786735277301,11.458333333333336,0.0,0.0,0.0,0.0,9.147609147609149,0.0,5.721716514954486,0.0,0.0,0.0,9.147609147609149,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,6.280193236714976,0.0,0.0,1.704966641957005,2.1240441801189465,1.9725557461406518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.216535433070867,30.216535433070867,0.0,1
0.0,0.0,0.0,23.188405797101453,5.6190476190476195,0.0,87.47220163083766,100.0,33.73356203544883,29.687499999999996,0.0,0.0,0.0,24.516129032258064,7.9002079002079,0.0,0.0,0.0,0.0,0.0,7.9002079002079,0.0,0.0,0.0,0.0,1
2.221204488207007,11.490683229813664,0.0,10.213940648723257,23.80952380952381,0.8454566227435447,0.9304670126019274,4.587935429056924,26.558033161806748,6.770833333333334,22.872340425531917,1.7621145374449338,44.26877470355732,27.741935483870964,30.561330561330564,13.0,8.972691807542262,8.900523560209425,1.680672268907563,3.903903903903904,30.561330561330564,0.0,8.464566929133857,8.464566929133857,15.291529152915292,1
0.0,0.0,100.0,0.0,0.0,0.0,0.680207561156412,0.6796941376380629,1.1149228130360205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5370611183355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,5.693581780538302,0.0,11.272141706924318,15.047619047619047,0.11425089496534388,2.535211267605634,56.83942225998301,38.62206975414522,20.833333333333336,42.553191489361694,11.013215859030836,0.0,51.61290322580645,2.079002079002079,15.0,9.102730819245773,15.706806282722514,0.0,1.5015015015015016,2.079002079002079,16.666666666666668,0.984251968503937,0.984251968503937,7.700770077007701,1
0.0,12.318840579710148,0.0,5.475040257648954,0.0,0.0,0.5930318754633062,0.6796941376380629,1.4293882218410523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.375812743823147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.2965159377316531,0.08496176720475786,0.1429388221841052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0378057820607858,1.274426508071368,1.400800457404231,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,6.573498964803313,0.0,1.173222912353347,3.6190476190476186,0.0,0.5449962935507784,2.0390824129141887,17.29559748427673,4.427083333333334,0.0,0.0,6.719367588932807,5.161290322580645,0.0,4.0,3.250975292587776,0.0,0.0,0.0,0.0,0.0,0.7874015748031495,0.7874015748031495,6.600660066006601,0
0.0,0.0,0.0,13.64159190246147,20.666666666666664,0.2970523269098941,3.3989621942179387,44.60492778249787,31.789594053745,0.0,42.553191489361694,0.0,31.620553359683797,51.61290322580645,24.94802494802495,0.0,10.403120936280883,20.942408376963353,0.0,13.963963963963966,24.94802494802495,33.93393393393393,0.0,0.0,11.66116611661166,1
